id,name,lines
1,Rajiv Chowk,Blue Line;Yellow Line
2,Kashmere Gate,Red Line;Yellow Line
3,Dwarka Sector 21,Blue Line
4,Noida Electronic City,Blue Line
5,Rithala,Red Line
6,Shaheed Sthal,Red Line
7,Central Secretariat,Yellow Line
8,Huda City Centre,Yellow Line
